Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9259424710273743,0.011797489602118731,0.35842773532867434,0.2695773506164551,20.62835708234224,0.7033563693165779
2,0.9586483125686646,0.004707575296983122,0.6122948579788208,0.5721718797683716,20.588613624089742,0.7634777079820633
3,0.9772056179046631,0.002686484765261412,0.5646977577209472,0.5410652046203613,21.12752617224729,0.7886003741919995
4,0.9638487682342529,0.002618503738194704,0.766112735748291,0.738941068649292,27.192771562482644,0.8480694802701473
5,1.0016402206420898,0.002441049672663212,0.6952382998466492,0.6941567158699036,23.243967291433112,0.8508271899223327
6,0.993792670249939,0.0018410392720252275,0.7173073539733886,0.7168139791488648,27.311248130299496,0.8579854519963265
7,0.9974205436706542,0.0014999317675828934,0.7412745628356934,0.7386265606880188,24.999620081081645,0.8513703984022141
8,1.0034989395141602,0.0019866080768406393,0.7152083449363709,0.7152157745361328,21.097035371853252,0.8743692742586135
9,1.001214093208313,0.0018142585959285498,0.7074354882240296,0.7108656468391419,28.762384607543268,0.8847000595331193
10,0.9993978452682495,0.0018154566083103418,0.8052190866470337,0.8066065607070922,24.167718556883855,0.8811847906112671
11,0.9986640334129333,0.0016441449215635656,0.8386591267585755,0.8363353414535523,31.38117435761896,0.8980468843579292
12,0.9990087089538574,0.0013693457264453172,0.8297039256095886,0.8287873630523681,24.27138790895583,0.8735626649856567
13,0.9998172187805175,0.001259933882392943,0.7951577892303466,0.7929098434448242,30.645394684691524,0.913070380628109
14,0.9982017459869384,0.0010646960730664433,0.7522756729125977,0.7500166130065918,27.898159861669818,0.9068700314164162
15,0.9971412806510925,0.0012644285531714559,0.7797297496795654,0.7782938323020935,31.052919182430543,0.9134371762275696
16,0.9950357575416565,0.0011682688230648637,0.8010441780090332,0.7945463662147522,26.076780521072212,0.909533483684063
17,0.998259213924408,0.0013205453278496862,0.7431575918197632,0.7400985350608825,26.402395897237966,0.9080496013164521
18,0.9970572624206543,0.0009557005111128092,0.7235963745117188,0.719425148487091,30.167742557968612,0.9207160009145736
19,0.996432195186615,0.0013264363054186106,0.7153031868934632,0.7120497741699219,31.06785273597735,0.9088766848444939
20,0.9957086443901062,0.0012702170256525278,0.7186811094284058,0.7144235801696778,27.453560775935436,0.920038194835186
21,0.997917067527771,0.0010880094524472951,0.7430178594589233,0.7405557641983033,23.03221970433477,0.9116706959009171
22,0.9916518340110779,0.0013253986593335866,0.738333655834198,0.731193443775177,30.314170944273144,0.9081694492697716
23,0.9954154272079467,0.001135875198058784,0.7616793279647827,0.7571199078559876,30.545111744287713,0.9243196731805802
24,1.0006851925849916,0.001127840120345354,0.7424576697349549,0.7439860868453979,30.513214290198874,0.9101224061846733
25,0.9985943851470948,0.0010720029212534427,0.7730649466514588,0.7707810430526734,33.71914410822794,0.9291065202951432
26,1.0014192543029785,0.0009438728671520948,0.7249758033752441,0.7248004574775696,32.2587273118736,0.9292242901325226
27,0.9997146921157837,0.001179304744116962,0.7095310506820679,0.7089257659912109,29.912242364113084,0.9251281025409699
28,0.996763382434845,0.0011564134433865547,0.755448184967041,0.7537268190383911,26.812557056651436,0.882108393073082
29,0.9949442329406738,0.0013744027661159635,0.7772967801094055,0.7731636371612549,31.580432940218458,0.9227307258844376
30,0.9979263019561767,0.0010635994076728821,0.7879090037345886,0.786097409248352,30.531299535971762,0.9256506989002228
31,0.9997595400810242,0.0010533969393000007,0.8275629148483277,0.829787703037262,29.05650807251989,0.9213947353363037
32,0.9993569679260254,0.0008526600752957165,0.9664206676483155,0.9680509376525879,32.62269556926184,0.9284780397415161
33,1.0,0.0006536392578855157,1.0,1.0,32.02532449191964,0.9267517499923706
34,1.0,0.0008030047258362174,1.0,1.0,26.54196465925361,0.922894951403141
35,1.0,0.0007871423144824803,1.0,1.0,29.0895933738866,0.9269925076961517
36,1.0,0.0008964452096261084,1.0,1.0,27.23465493129027,0.9247378332018852
37,1.0,0.0007446721666492522,1.0,1.0,27.260923122410873,0.9193948166966438
38,1.0,0.00070053381472826,1.0,1.0,33.16254993603313,0.9265881533622742
39,1.0,0.0006352427168749273,1.0,1.0,28.150385955470707,0.9274360282421112
40,1.0,0.0006111572971567511,1.0,1.0,32.49872297648798,0.9320513442158699
41,1.0,0.000735247584991157,1.0,1.0,33.38833559387303,0.9337857049703598
42,1.0,0.0007249707174487412,1.0,1.0,30.847370368987825,0.9271146250367165
43,1.0,0.0008446923214942217,1.0,1.0,30.53675079533566,0.9166826154589653
44,1.0,0.0006892998833209276,1.0,1.0,30.092600900071815,0.9205246309638023
45,1.0,0.0008856414086185396,1.0,1.0,33.16374501471478,0.9321396975517273
46,1.0,0.0007201868607662618,1.0,1.0,31.45090022620174,0.9321477558612824
